user_id,skill_id,correct,time
U181031,P288350,0,1546358580
U213787,P293329,1,1546359000
U181031,P288350,0,1546359000
U181031,P288350,0,1546359300
U181031,P288350,0,1546359960
U181031,P288350,0,1546360200
U213787,P282555,0,1546360440
U181031,P288350,0,1546360440
U181031,P288350,1,1546360620
U213787,P282555,0,1546361040
U213787,P282555,0,1546361100
U213787,P282555,0,1546361280
U213787,P282555,0,1546362060
U213787,P282555,0,1546362600
U213787,P282555,0,1546362660
U213787,P282555,0,1546362720
U213787,P282555,0,1546362780
U213787,P282555,0,1546362840
U213787,P282555,0,1546363080
U213787,P282555,0,1546363260
U213787,P282555,1,1546363260
U181031,P278683,1,1546397340
U181031,P291530,1,1546398180
U181031,P279217,0,1546400160
U181031,P279217,0,1546400340
U181031,P292397,0,1546402020
U181031,P279217,0,1546407900
U181031,P279217,0,1546408020
U181031,P279217,1,1546408260
U181031,P292397,1,1546409220
U208805,P275960,0,1546410120
U181031,P289278,1,1546410420
U214957,P285530,0,1546410600
U208805,P275960,1,1546410900
U214957,P285530,1,1546411140
U159299,P278838,1,1546411260
U181031,P276137,0,1546411260
U181031,P276137,0,1546411500
U162962,P278337,1,1546411920
U159299,P287341,0,1546412100
U181031,P276137,1,1546412100
U159299,P287341,0,1546412220
U162962,P278337,1,1546412940
U162962,P278337,1,1546413120
U214957,P275601,1,1546414260
U181031,P294386,0,1546414260
U159299,P287341,1,1546414320
U181031,P294386,0,1546414740
U181031,P294386,0,1546414980
U189430,P284397,1,1546415760
U181031,P294386,0,1546415820
U181031,P294386,1,1546416360
U189430,P278474,1,1546416960
U189430,P278474,1,1546417140
U189430,P273764,1,1546417380
U181031,P288049,1,1546417620
U220350,P274651,0,1546417740
U220350,P274651,0,1546417740
U220350,P274651,0,1546417800
U181031,P289091,1,1546418040
U189430,P286176,0,1546418100
U189430,P286176,1,1546418460
U213787,P292195,0,1546418460
U189430,P288326,1,1546418760
U213787,P292195,1,1546418880
U161251,P274560,1,1546419060
U181031,P290511,1,1546419720
U181031,P274234,0,1546420560
U181031,P274234,1,1546420680
U213787,P275160,1,1546423020
U181031,P279432,1,1546423380
U220350,P287012,1,1546424340
U181261,P287817,0,1546425960
U181261,P287817,1,1546426080
U181921,P274114,0,1546427580
U181921,P274114,0,1546427640
U181921,P274114,0,1546427700
U181921,P274114,1,1546427760
U181921,P274114,0,1546427760
U181921,P274114,0,1546427880
U181921,P274114,1,1546428000
U220350,P279148,0,1546428000
U220350,P279148,0,1546428120
U220350,P279148,0,1546428180
U220350,P279148,0,1546428240
U181921,P282946,0,1546430400
U181921,P282946,1,1546430940
U181921,P282946,0,1546430940
U172724,P277046,0,1546432080
U172724,P285769,1,1546433040
U156972,P275040,1,1546433580
U199035,P279558,0,1546433940
U199035,P279558,1,1546433940
U173352,P277458,1,1546434960
U173352,P276460,0,1546435020
U181715,P291006,1,1546435140
U181715,P282192,0,1546435860
U181715,P282192,0,1546435920
U181715,P282192,0,1546436100
U181715,P282192,1,1546436220
U176185,P293746,0,1546437180
U176185,P293746,0,1546437540
U176185,P293746,1,1546437600
U175553,P291174,1,1546438920
U170896,P273789,1,1546439760
